,Average,Split_1,Split_2,Split_3,Split_4,Split_5,Test-Data,wasserstein_radi,NORM,kappa
DRSVM_withoutSupport,0.9833333333333334,1.0,1.0,1.0,0.9166666666666667,1.0,1.0,0.1,two,0.1
RegularisedSVM_withoutSupport,0.9833333333333334,1.0,1.0,1.0,0.9166666666666667,1.0,1.0,0.1,two,0.1
Classical_SVM,0.9708333333333334,1.0,0.9375,1.0,0.9166666666666667,1.0,1.0,0.1,two,0.1
DRSVM_withoutSupport,0.9875,1.0,0.9375,1.0,1.0,1.0,1.0,0.1,two,0.25
RegularisedSVM_withoutSupport,0.9833333333333334,1.0,1.0,1.0,0.9166666666666667,1.0,1.0,0.1,two,0.25
Classical_SVM,0.9708333333333334,1.0,0.9375,1.0,0.9166666666666667,1.0,1.0,0.1,two,0.25
DRSVM_withoutSupport,0.9875,1.0,0.9375,1.0,1.0,1.0,1.0,0.1,two,0.5
RegularisedSVM_withoutSupport,0.9833333333333334,1.0,1.0,1.0,0.9166666666666667,1.0,1.0,0.1,two,0.5
Classical_SVM,0.9708333333333334,1.0,0.9375,1.0,0.9166666666666667,1.0,1.0,0.1,two,0.5
DRSVM_withoutSupport,0.9875,1.0,0.9375,1.0,1.0,1.0,1.0,0.1,two,0.75
RegularisedSVM_withoutSupport,0.9833333333333334,1.0,1.0,1.0,0.9166666666666667,1.0,1.0,0.1,two,0.75
Classical_SVM,0.9708333333333334,1.0,0.9375,1.0,0.9166666666666667,1.0,1.0,0.1,two,0.75
DRSVM_withoutSupport,0.9833333333333334,1.0,1.0,1.0,0.9166666666666667,1.0,1.0,0.1,two,1.0
RegularisedSVM_withoutSupport,0.9833333333333334,1.0,1.0,1.0,0.9166666666666667,1.0,1.0,0.1,two,1.0
Classical_SVM,0.9708333333333334,1.0,0.9375,1.0,0.9166666666666667,1.0,1.0,0.1,two,1.0
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,two,0.1
RegularisedSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,two,0.1
Classical_SVM,0.9708333333333334,1.0,0.9375,1.0,0.9166666666666667,1.0,1.0,0.5,two,0.1
DRSVM_withoutSupport,0.9500000000000001,1.0,0.9166666666666667,1.0,0.9166666666666667,0.9166666666666667,1.0,0.5,two,0.25
RegularisedSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,two,0.25
Classical_SVM,0.9708333333333334,1.0,0.9375,1.0,0.9166666666666667,1.0,1.0,0.5,two,0.25
DRSVM_withoutSupport,0.9833333333333334,1.0,1.0,1.0,0.9166666666666667,1.0,1.0,0.5,two,0.5
RegularisedSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,two,0.5
Classical_SVM,0.9708333333333334,1.0,0.9375,1.0,0.9166666666666667,1.0,1.0,0.5,two,0.5
DRSVM_withoutSupport,0.9833333333333334,1.0,1.0,1.0,0.9166666666666667,1.0,1.0,0.5,two,0.75
RegularisedSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,two,0.75
Classical_SVM,0.9708333333333334,1.0,0.9375,1.0,0.9166666666666667,1.0,1.0,0.5,two,0.75
DRSVM_withoutSupport,0.9833333333333334,1.0,1.0,1.0,0.9166666666666667,1.0,1.0,0.5,two,1.0
RegularisedSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,two,1.0
Classical_SVM,0.9708333333333334,1.0,0.9375,1.0,0.9166666666666667,1.0,1.0,0.5,two,1.0
DRSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,two,0.1
RegularisedSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,two,0.1
Classical_SVM,0.9708333333333334,1.0,0.9375,1.0,0.9166666666666667,1.0,1.0,0.75,two,0.1
DRSVM_withoutSupport,0.6166666666666666,0.5,0.75,0.5833333333333333,0.75,0.5,0.631578947368421,0.75,two,0.25
RegularisedSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,two,0.25
Classical_SVM,0.9708333333333334,1.0,0.9375,1.0,0.9166666666666667,1.0,1.0,0.75,two,0.25
DRSVM_withoutSupport,0.9833333333333334,1.0,1.0,1.0,0.9166666666666667,1.0,1.0,0.75,two,0.5
RegularisedSVM_withoutSupport,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,two,0.5
