,Average,Split_1,Split_2,Split_3,Split_4,Split_5,Test-Data,wasserstein_radi,NORM,kappa
DRSVM_withoutSupport,0.8793333333333333,0.8758333333333332,0.9375,0.7708333333333335,0.875,0.9375,0.8507918866351765,0.1,two,0.1
RegularisedSVM_withoutSupport,0.9958333333333333,1.0,1.0,1.0,1.0,0.9791666666666667,1.0,0.1,two,0.1
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.1,two,0.1
DRSVM_withoutSupport,1.0,1.0,1.0,1.0,1.0,1.0,0.9915254237288136,0.1,two,0.25
RegularisedSVM_withoutSupport,0.9958333333333333,1.0,1.0,1.0,1.0,0.9791666666666667,1.0,0.1,two,0.25
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.1,two,0.25
DRSVM_withoutSupport,1.0,1.0,1.0,1.0,1.0,1.0,0.9915254237288136,0.1,two,0.5
RegularisedSVM_withoutSupport,0.9958333333333333,1.0,1.0,1.0,1.0,0.9791666666666667,1.0,0.1,two,0.5
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.1,two,0.5
DRSVM_withoutSupport,1.0,1.0,1.0,1.0,1.0,1.0,0.9915254237288136,0.1,two,0.75
RegularisedSVM_withoutSupport,0.9958333333333333,1.0,1.0,1.0,1.0,0.9791666666666667,1.0,0.1,two,0.75
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.1,two,0.75
DRSVM_withoutSupport,1.0,1.0,1.0,1.0,1.0,1.0,0.9915254237288136,0.1,two,1.0
RegularisedSVM_withoutSupport,0.9958333333333333,1.0,1.0,1.0,1.0,0.9791666666666667,1.0,0.1,two,1.0
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.1,two,1.0
DRSVM_withoutSupport,0.7056666666666667,0.6116666666666667,0.8541666666666666,0.8333333333333334,0.6041666666666666,0.625,0.5411225340372325,0.5,two,0.1
RegularisedSVM_withoutSupport,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,two,0.1
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.5,two,0.1
DRSVM_withoutSupport,0.6596666666666666,0.6941666666666666,0.20833333333333331,0.8541666666666667,0.8958333333333334,0.6458333333333334,0.8146707418727424,0.5,two,0.25
RegularisedSVM_withoutSupport,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,two,0.25
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.5,two,0.25
DRSVM_withoutSupport,0.9875,1.0,0.9583333333333333,0.9791666666666667,1.0,1.0,1.0,0.5,two,0.5
RegularisedSVM_withoutSupport,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,two,0.5
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.5,two,0.5
DRSVM_withoutSupport,0.9875,1.0,0.9375,1.0,1.0,1.0,0.9915254237288136,0.5,two,0.75
RegularisedSVM_withoutSupport,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,two,0.75
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.5,two,0.75
DRSVM_withoutSupport,0.9833333333333334,1.0,0.9375,0.9791666666666667,1.0,1.0,0.9915254237288136,0.5,two,1.0
RegularisedSVM_withoutSupport,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,two,1.0
Classical_SVM,0.9833333333333334,0.9791666666666667,0.9583333333333333,1.0,1.0,0.9791666666666667,0.9833287024173382,0.5,two,1.0
